 Total Nb of available Diagnostics: ndiagt=   420
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    99 |TOTSTEND| 52 |       |SMR     MR|psu/day         |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor| 52 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc | 52 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc | 52 |       |SMR     MR|psu/s           |Salinity forcing tendency
   103 |AB_gT   | 52 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   | 52 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   105 |gTinAB  | 52 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  | 52 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   | 52 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   | 52 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADVr_TH | 52 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   110 |ADVx_TH | 52 |   111 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   111 |ADVy_TH | 52 |   110 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   112 |DFrE_TH | 52 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   113 |DFxE_TH | 52 |   114 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   114 |DFyE_TH | 52 |   113 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   115 |DFrI_TH | 52 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   116 |ADVr_SLT| 52 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   117 |ADVx_SLT| 52 |   118 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   118 |ADVy_SLT| 52 |   117 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   119 |DFrE_SLT| 52 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   120 |DFxE_SLT| 52 |   121 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   121 |DFyE_SLT| 52 |   120 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   122 |DFrI_SLT| 52 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   123 |SALTFILL| 52 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   124 |VISCAHZ | 52 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   125 |VISCA4Z | 52 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   126 |VISCAHD | 52 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   127 |VISCA4D | 52 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   128 |VISCAHW | 52 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   129 |VISCA4W | 52 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   130 |VAHZMAX | 52 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   131 |VA4ZMAX | 52 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   132 |VAHDMAX | 52 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   133 |VA4DMAX | 52 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   134 |VAHZMIN | 52 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   135 |VA4ZMIN | 52 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   136 |VAHDMIN | 52 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   137 |VA4DMIN | 52 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   138 |VAHZLTH | 52 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   139 |VA4ZLTH | 52 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   140 |VAHDLTH | 52 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   141 |VA4DLTH | 52 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   142 |VAHZLTHD| 52 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   143 |VA4ZLTHD| 52 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   144 |VAHDLTHD| 52 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   145 |VA4DLTHD| 52 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   146 |VAHZSMAG| 52 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   147 |VA4ZSMAG| 52 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   148 |VAHDSMAG| 52 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   149 |VA4DSMAG| 52 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   150 |momKE   | 52 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   151 |momHDiv | 52 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   152 |momVort3| 52 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   153 |Strain  | 52 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   154 |Tension | 52 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   155 |UBotDrag| 52 |   156 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   156 |VBotDrag| 52 |   155 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   157 |USidDrag| 52 |   158 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   158 |VSidDrag| 52 |   157 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   159 |Um_Diss | 52 |   160 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   160 |Vm_Diss | 52 |   159 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   161 |Um_Advec| 52 |   162 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   162 |Vm_Advec| 52 |   161 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   163 |Um_Cori | 52 |   164 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   164 |Vm_Cori | 52 |   163 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   165 |Um_dPHdx| 52 |   166 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   166 |Vm_dPHdy| 52 |   165 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   167 |Um_Ext  | 52 |   168 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   168 |Vm_Ext  | 52 |   167 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   169 |Um_AdvZ3| 52 |   170 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   170 |Vm_AdvZ3| 52 |   169 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   171 |Um_AdvRe| 52 |   172 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   172 |Vm_AdvRe| 52 |   171 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   173 |VISrI_Um| 52 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   174 |VISrI_Vm| 52 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   175 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   176 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   177 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   178 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   179 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   180 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   181 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   182 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   183 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   184 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 eastward
   185 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 northward
   186 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   187 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   188 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   189 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   190 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   191 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   192 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   193 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   194 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   195 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   196 |EXFsalfx|  1 |       |SM      U1|psu.kg/m^2/s    |upward salt flux, > 0 decreases salinity
   197 |GGL90TKE| 52 |       |SM      LR|m^2/s^2         |GGL90 sub-grid turbulent kinetic energy
   198 |GGL90Lmx| 52 |       |SM      LR|m               |Mixing length scale
   199 |GGL90Prl| 52 |       |SM      LR|1               |Prandtl number used in GGL90
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |GGL90ArU| 52 |       |SM      LR|m^2/s           |GGL90 eddy viscosity at U-point
   201 |GGL90ArV| 52 |       |SM      LR|m^2/s           |GGL90 eddy viscosity at V-point
   202 |GGL90Kr | 52 |       |SM      LR|m^2/s           |GGL90 diffusion coefficient for temperature
   203 |GGL90flx|  1 |       |SM      L1|m^3/s^3         |Surface flux of TKE
   204 |GGL90tau|  1 |       |SM      L1|m^3/s^3         |Work done by the wind
   205 |TRAC01  | 52 |       |SMR     MR|mol C/m         |Dissolved Inorganic Carbon concentration
   206 |UTRAC01 | 52 |   207 |UUr     MR|molC/m.m/s      |Zonal Mass-Weighted Transp of dic
   207 |VTRAC01 | 52 |   206 |VVr     MR|molC/m.m/s      |Merid Mass-Weighted Transp of dic
   208 |WTRAC01 | 52 |       |WM      MR|molC/m.m/s      |Vert  Mass-Weighted Transp of dic
   209 |ForcTr01| 52 |       |SMR     MR|molC/m/s        |dic forcing tendency
   210 |AB_gTr01| 52 |       |SMR     MR|molC/m/s        |dic tendency from Adams-Bashforth
   211 |ADVrTr01| 52 |       |WM      LR|molC/m.m^3/s    |Vertical   Advective Flux of dic
   212 |ADVxTr01| 52 |   213 |UU      MR|molC/m.m^3/s    |Zonal      Advective Flux of dic
   213 |ADVyTr01| 52 |   212 |VV      MR|molC/m.m^3/s    |Meridional Advective Flux of dic
   214 |DFrETr01| 52 |       |WM      LR|molC/m.m^3/s    |Vertical Diffusive Flux of dic (Explicit part)
   215 |DFxETr01| 52 |   216 |UU      MR|molC/m.m^3/s    |Zonal      Diffusive Flux of dic
   216 |DFyETr01| 52 |   215 |VV      MR|molC/m.m^3/s    |Meridional Diffusive Flux of dic
   217 |DFrITr01| 52 |       |WM      LR|molC/m.m^3/s    |Vertical Diffusive Flux of dic (Implicit part)
   218 |TRAC02  | 52 |       |SMR     MR|mol eq/         |Alkalinity concentration
   219 |UTRAC02 | 52 |   220 |UUr     MR|moleq/.m/s      |Zonal Mass-Weighted Transp of alk
   220 |VTRAC02 | 52 |   219 |VVr     MR|moleq/.m/s      |Merid Mass-Weighted Transp of alk
   221 |WTRAC02 | 52 |       |WM      MR|moleq/.m/s      |Vert  Mass-Weighted Transp of alk
   222 |ForcTr02| 52 |       |SMR     MR|moleq//s        |alk forcing tendency
   223 |AB_gTr02| 52 |       |SMR     MR|moleq//s        |alk tendency from Adams-Bashforth
   224 |ADVrTr02| 52 |       |WM      LR|moleq/.m^3/s    |Vertical   Advective Flux of alk
   225 |ADVxTr02| 52 |   226 |UU      MR|moleq/.m^3/s    |Zonal      Advective Flux of alk
   226 |ADVyTr02| 52 |   225 |VV      MR|moleq/.m^3/s    |Meridional Advective Flux of alk
   227 |DFrETr02| 52 |       |WM      LR|moleq/.m^3/s    |Vertical Diffusive Flux of alk (Explicit part)
   228 |DFxETr02| 52 |   229 |UU      MR|moleq/.m^3/s    |Zonal      Diffusive Flux of alk
   229 |DFyETr02| 52 |   228 |VV      MR|moleq/.m^3/s    |Meridional Diffusive Flux of alk
   230 |DFrITr02| 52 |       |WM      LR|moleq/.m^3/s    |Vertical Diffusive Flux of alk (Implicit part)
   231 |TRAC03  | 52 |       |SMR     MR|mol O/m         |Dissolved Oxygen concentration
   232 |UTRAC03 | 52 |   233 |UUr     MR|molO/m.m/s      |Zonal Mass-Weighted Transp of o2
   233 |VTRAC03 | 52 |   232 |VVr     MR|molO/m.m/s      |Merid Mass-Weighted Transp of o2
   234 |WTRAC03 | 52 |       |WM      MR|molO/m.m/s      |Vert  Mass-Weighted Transp of o2
   235 |ForcTr03| 52 |       |SMR     MR|molO/m/s        |o2 forcing tendency
   236 |AB_gTr03| 52 |       |SMR     MR|molO/m/s        |o2 tendency from Adams-Bashforth
   237 |ADVrTr03| 52 |       |WM      LR|molO/m.m^3/s    |Vertical   Advective Flux of o2
   238 |ADVxTr03| 52 |   239 |UU      MR|molO/m.m^3/s    |Zonal      Advective Flux of o2
   239 |ADVyTr03| 52 |   238 |VV      MR|molO/m.m^3/s    |Meridional Advective Flux of o2
   240 |DFrETr03| 52 |       |WM      LR|molO/m.m^3/s    |Vertical Diffusive Flux of o2 (Explicit part)
   241 |DFxETr03| 52 |   242 |UU      MR|molO/m.m^3/s    |Zonal      Diffusive Flux of o2
   242 |DFyETr03| 52 |   241 |VV      MR|molO/m.m^3/s    |Meridional Diffusive Flux of o2
   243 |DFrITr03| 52 |       |WM      LR|molO/m.m^3/s    |Vertical Diffusive Flux of o2 (Implicit part)
   244 |TRAC04  | 52 |       |SMR     MR|mol P/m         |Nitrate concentration
   245 |UTRAC04 | 52 |   246 |UUr     MR|molP/m.m/s      |Zonal Mass-Weighted Transp of no3
   246 |VTRAC04 | 52 |   245 |VVr     MR|molP/m.m/s      |Merid Mass-Weighted Transp of no3
   247 |WTRAC04 | 52 |       |WM      MR|molP/m.m/s      |Vert  Mass-Weighted Transp of no3
   248 |ForcTr04| 52 |       |SMR     MR|molP/m/s        |no3 forcing tendency
   249 |AB_gTr04| 52 |       |SMR     MR|molP/m/s        |no3 tendency from Adams-Bashforth
   250 |ADVrTr04| 52 |       |WM      LR|molP/m.m^3/s    |Vertical   Advective Flux of no3
   251 |ADVxTr04| 52 |   252 |UU      MR|molP/m.m^3/s    |Zonal      Advective Flux of no3
   252 |ADVyTr04| 52 |   251 |VV      MR|molP/m.m^3/s    |Meridional Advective Flux of no3
   253 |DFrETr04| 52 |       |WM      LR|molP/m.m^3/s    |Vertical Diffusive Flux of no3 (Explicit part)
   254 |DFxETr04| 52 |   255 |UU      MR|molP/m.m^3/s    |Zonal      Diffusive Flux of no3
   255 |DFyETr04| 52 |   254 |VV      MR|molP/m.m^3/s    |Meridional Diffusive Flux of no3
   256 |DFrITr04| 52 |       |WM      LR|molP/m.m^3/s    |Vertical Diffusive Flux of no3 (Implicit part)
   257 |TRAC05  | 52 |       |SMR     MR|mol P/m         |Phosphate concentration
   258 |UTRAC05 | 52 |   259 |UUr     MR|molP/m.m/s      |Zonal Mass-Weighted Transp of po4
   259 |VTRAC05 | 52 |   258 |VVr     MR|molP/m.m/s      |Merid Mass-Weighted Transp of po4
   260 |WTRAC05 | 52 |       |WM      MR|molP/m.m/s      |Vert  Mass-Weighted Transp of po4
   261 |ForcTr05| 52 |       |SMR     MR|molP/m/s        |po4 forcing tendency
   262 |AB_gTr05| 52 |       |SMR     MR|molP/m/s        |po4 tendency from Adams-Bashforth
